T,LOAD,C_BUY_PC,C_SELL_PC,C_BUY_SA,C_SELL_SA,AV_DIESEL
1,70.784,0.130732,8.50E-02,1.36E-01,8.84E-02,1
2,65.275,0.130732,8.50E-02,1.36E-01,8.84E-02,1
3,61.999,0.130732,8.50E-02,1.36E-01,8.84E-02,1
4,60.831,0.130732,8.50E-02,1.36E-01,8.84E-02,1
5,58.873,0.130732,8.50E-02,1.36E-01,8.84E-02,1
6,60.983,0.130732,8.50E-02,1.36E-01,8.84E-02,1
7,77.471,0.130732,8.50E-02,1.36E-01,8.84E-02,1
8,99.971,0.130732,8.50E-02,1.36E-01,8.84E-02,1
9,126.465,0.130732,8.50E-02,1.36E-01,8.84E-02,1
10,130.83,0.130732,8.50E-02,1.36E-01,8.84E-02,1
11,135.279,0.130732,8.50E-02,1.36E-01,8.84E-02,1
12,128.579,0.130732,8.50E-02,1.36E-01,8.84E-02,1
13,107.629,0.130732,8.50E-02,1.36E-01,8.84E-02,1
14,127.275,0.130732,8.50E-02,1.36E-01,8.84E-02,1
15,130.155,0.130732,8.50E-02,1.36E-01,8.84E-02,1
16,133.895,0.130732,8.50E-02,1.36E-01,8.84E-02,1
17,130.301,0.130732,8.50E-02,1.36E-01,8.84E-02,1
18,116.821,0.130732,8.50E-02,1.36E-01,8.84E-02,1
19,89.296,0.130732,8.50E-02,1.36E-01,8.84E-02,1
20,77.453,0.130732,8.50E-02,1.36E-01,8.84E-02,1
21,69.502,0.130732,8.50E-02,1.36E-01,8.84E-02,1
22,66.408,0.130732,8.50E-02,1.36E-01,8.84E-02,1
23,64.527,0.130732,8.50E-02,1.36E-01,8.84E-02,1
24,65.143,0.130732,8.50E-02,1.36E-01,8.84E-02,1
25,63.68,0.130732,8.50E-02,1.36E-01,8.84E-02,1
26,61.547,0.130732,8.50E-02,1.36E-01,8.84E-02,1
27,59.633,0.130732,8.50E-02,1.36E-01,8.84E-02,1
28,55.573,0.130732,8.50E-02,1.36E-01,8.84E-02,1
29,51.163,0.130732,8.50E-02,1.36E-01,8.84E-02,1
30,51.91,0.130732,8.50E-02,1.36E-01,8.84E-02,1
31,65.021,0.130732,8.50E-02,1.36E-01,8.84E-02,1
32,87.578,0.130732,8.50E-02,1.36E-01,8.84E-02,1
33,111.501,0.130732,8.50E-02,1.36E-01,8.84E-02,1
34,124.764,0.130732,8.50E-02,1.36E-01,8.84E-02,1
35,129.546,0.130732,8.50E-02,1.36E-01,8.84E-02,1
36,94.019,0.130732,8.50E-02,1.36E-01,8.84E-02,1
37,94.307,0.130732,8.50E-02,1.36E-01,8.84E-02,1
38,105.99,0.130732,8.50E-02,1.36E-01,8.84E-02,1
39,143.566,0.130732,8.50E-02,1.36E-01,8.84E-02,1
40,145.21,0.130732,8.50E-02,1.36E-01,8.84E-02,1
41,134.623,0.130732,8.50E-02,1.36E-01,8.84E-02,1
