bad,mean,good
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
10.88,16.12,32.42
154.3,233.58,252.68
327.25,482.81,491.88
454.54,671.8,697.67
686.81,825.35,862.51
739.15,937.48,956.9
703.78,922.38,966.72
750.87,865.71,903.34
524.81,750.05,760.83
313.85,549.01,567.37
162.55,290.03,331.58
39.05,69.04,94.62
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
13.82,20.61,35.68
121.5,189.67,259.21
364.3,448.38,490.89
479.48,685.69,702.95
699.79,840.6,858.26
773.21,857.19,952.2
749.56,914.98,974.08
625.52,782.73,902.0
558.37,751.44,772.68
359.74,501.04,564.16
79.46,271.43,328.48
37.3,56.54,94.97
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
10.33,18.67,33.1
158.34,241.49,248.4
368.22,459.27,494.52
490.9,587.74,701.36
649.44,840.1,862.32
721.34,895.17,959.34
624.09,874.22,966.67
671.56,838.74,904.37
570.01,638.04,776.11
406.53,557.84,563.88
200.56,318.12,339.05
48.67,51.08,89.41
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
9.73,24.14,37.62
134.41,243.61,251.28
352.91,480.04,488.48
543.23,644.62,705.78
710.04,840.13,858.49
515.33,934.45,955.27
794.92,909.5,967.67
688.07,779.63,902.31
607.26,737.34,762.46
334.24,441.7,580.45
199.6,273.86,335.62
39.83,80.35,93.35
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
13.72,19.38,40.97
149.33,182.11,257.31
300.55,478.68,488.48
538.68,678.67,703.17
618.7,856.23,864.65
703.72,920.15,952.6
765.82,961.88,966.04
660.89,882.29,901.27
599.0,711.45,768.59
335.63,519.62,570.86
180.91,224.6,326.46
46.68,78.23,91.96
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
