bad,mean,good
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
15,15,15
119.07,189.62,205.5
243.1,370.93,441.78
423.85,564.9,652.58
413.52,719.29,802.47
563.19,819.78,876.29
452.46,594.25,920.75
410.14,564.1,825.1
261.03,557.26,686.34
213.39,398.33,506.68
41.35,197.79,280.65
18.68,20.75,53.13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11,11,11
76.34,178.66,213.9
228.47,362.24,431.55
428.25,574.24,650.82
479.71,782.75,799.58
516.46,820.57,886.71
434.95,829.12,903.5
247.15,764.12,837.66
395.37,476.72,686.64
237.87,488.01,496.0
40.74,261.26,288.79
7.45,21.91,65.83
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,3,3
104.12,189.63,209.84
145.69,351.7,435.32
349.33,587.57,648.6
400.04,768.3,813.88
496.6,793.59,897.14
406.4,643.69,883.43
104.82,736.07,830.75
412.78,583.77,722.63
122.75,481.74,503.2
99.59,170.57,288.73
7.87,42.0,57.34
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,4,4
114.45,152.65,206.93
271.9,317.43,450.07
281.7,491.03,645.88
342.98,597.0,788.89
571.37,652.4,880.51
548.34,826.79,889.38
464.53,742.75,850.37
176.44,594.55,694.62
240.41,472.44,501.28
115.02,241.62,287.02
11.13,40.05,64.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8,8,8
114.16,194.42,205.3
272.41,338.71,431.97
432.45,500.45,642.84
191.44,716.06,801.02
126.09,771.52,897.64
522.3,677.18,900.85
519.73,662.09,845.51
300.35,484.79,685.03
251.88,430.45,505.45
132.68,244.54,271.85
9.81,44.78,50.81
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7,7,7
