bad,mean,good
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
19,19,19
103.73,191.4,213.1
249.24,384.79,460.51
437.38,585.97,679.12
504.81,772.15,840.04
639.73,873.92,932.95
505.97,652.35,976.53
362.09,544.53,888.22
256.14,601.18,759.43
225.28,452.84,591.34
32.03,243.29,372.66
54.31,60.54,128.33
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
19,19,19
57.97,176.94,226.67
233.72,375.58,449.18
442.0,595.84,677.2
565.55,824.17,837.74
595.46,874.63,941.92
487.66,889.12,962.47
190.6,804.71,877.55
408.8,504.48,759.8
254.43,567.96,578.17
31.39,345.07,380.0
17.1,63.98,138.83
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
18,18,18
86.99,191.41,219.61
145.91,364.4,453.27
359.49,609.96,674.81
492.18,812.41,848.83
576.47,850.6,927.54
457.69,702.71,943.04
66.53,766.83,904.81
429.09,633.38,797.58
120.99,559.88,587.16
101.58,201.68,379.96
18.63,112.54,132.48
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
16,16,16
98.49,143.81,215.18
279.78,328.07,470.77
289.26,507.98,671.89
437.7,668.95,838.89
647.42,722.72,942.34
605.29,886.8,948.89
424.55,775.81,895.82
164.56,646.53,769.47
257.47,547.87,584.79
122.17,313.24,351.82
30.04,108.92,137.64
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
16,16,16
98.15,197.83,212.82
280.32,350.63,449.63
446.4,517.9,666.98
281.89,769.48,842.34
190.56,830.87,930.76
578.46,736.66,959.98
490.21,669.04,919.17
300.02,514.09,757.82
271.27,493.8,589.89
146.57,317.99,378.71
25.49,117.24,125.66
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
17,17,17
34.93,180.87,223.75
