bad,mean,good
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
61.38,122.86,138.67
113.83,262.21,369.61
237.93,437.41,591.75
247.28,630.41,727.31
342.18,728.08,816.67
289.38,451.71,934.55
306.62,488.44,851.19
268.87,593.61,738.86
290.73,478.1,578.96
108.76,287.7,358.62
68.68,73.17,117.56
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
31.64,112.42,148.43
100.66,250.24,353.21
243.22,452.79,588.68
317.84,704.75,758.24
287.08,729.5,832.22
271.34,779.45,899.96
146.27,761.07,839.61
414.32,503.95,739.2
316.98,562.14,569.4
107.78,342.68,365.26
35.21,75.57,127.27
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
50.26,122.87,143.38
41.2,236.09,359.27
277.9,475.24,584.72
233.8,460.03,753.75
265.08,682.23,816.62
242.92,514.82,865.43
41.32,720.58,869.31
433.41,623.3,779.02
187.37,556.39,575.88
187.29,262.19,365.22
36.99,106.39,121.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
57.87,88.91,140.18
142.05,192.87,345.24
157.11,325.27,579.77
180.21,625.63,774.85
352.31,460.36,852.57
396.06,775.86,849.97
367.79,730.16,859.46
179.49,635.4,748.17
319.68,547.82,574.16
204.91,326.22,363.82
48.7,104.09,126.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
66.5,127.53,138.46
145.81,219.21,381.59
277.51,338.62,571.28
66.87,599.35,736.97
8.89,644.74,874.09
365.79,559.39,875.33
433.35,617.24,885.83
311.05,512.9,737.38
331.77,508.61,577.88
224.04,328.69,351.41
44.3,109.48,115.47
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
57.65,115.24,146.35
