bad,mean,good
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
9,9,9
103.86,174.36,191.14
260.18,374.37,435.26
456.65,581.58,656.46
514.45,763.49,825.45
684.91,882.15,930.5
582.26,711.12,980.76
521.85,670.12,914.77
423.35,684.94,809.51
380.98,534.16,609.38
121.56,312.75,385.13
84.8,90.38,141.33
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
63.31,163.16,202.21
246.58,366.83,429.56
460.63,589.67,655.09
571.92,810.93,823.32
646.26,882.73,938.36
565.67,908.07,967.21
351.32,850.71,908.71
551.13,620.5,787.66
403.99,596.6,606.97
120.49,370.14,390.54
43.07,93.36,149.23
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
89.45,174.36,196.34
166.61,357.64,443.21
388.29,601.2,653.31
502.43,800.23,833.8
629.52,862.99,938.75
538.21,754.07,956.07
181.35,826.04,926.07
329.75,781.55,785.95
283.04,592.36,605.64
206.23,285.82,390.51
45.29,130.23,144.38
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
99.39,136.95,192.78
286.59,426.32,431.61
324.41,516.8,651.08
450.21,668.48,824.39
691.57,756.1,928.66
670.39,906.19,965.12
575.38,831.93,921.72
462.87,705.37,795.1
406.32,586.08,608.52
225.03,353.21,389.42
59.9,127.71,148.3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
99.1,179.3,190.91
287.05,327.48,435.45
464.43,525.13,653.21
297.18,761.04,827.59
258.8,846.7,934.05
646.89,782.66,976.68
628.37,760.02,916.89
522.05,713.58,789.33
416.69,557.14,613.4
245.39,355.79,378.64
54.4,133.5,144.05
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
41.02,166.21,199.74
