bad,mean,good
0.44,0.67,1.41
0.62,1.28,1.68
0.52,1.15,1.82
0.57,1.42,1.7
0.88,1.42,1.78
0.9,1.67,2.02
1.32,2.21,2.7
2.32,3.21,3.67
2.22,3.64,3.82
2.09,3.45,3.58
1.86,2.86,3.53
1.76,2.47,3.28
1.43,1.75,2.92
1.42,2.04,2.64
1.07,1.88,2.47
0.77,2.02,2.86
0.74,1.19,2.38
0.57,0.71,1.24
0.58,0.79,1.22
0.48,1.09,1.32
0.49,1.12,1.61
0.63,0.78,1.49
0.48,1.01,1.76
0.33,0.97,1.42
0.57,0.88,1.54
0.43,0.86,1.94
0.68,1.25,1.57
0.64,1.57,1.72
0.92,1.56,1.94
0.98,1.21,1.74
1.45,2.15,2.81
1.68,2.53,3.63
2.38,3.66,4.09
2.29,3.02,3.56
1.22,2.68,3.45
1.72,2.16,3.29
1.13,2.6,3.18
0.99,1.94,3.27
0.93,1.7,3.03
0.47,1.58,2.35
0.41,1.77,2.12
0.55,1.02,1.46
0.46,0.7,1.52
0.66,0.71,1.42
0.5,0.98,1.71
0.58,1.05,1.45
0.6,0.67,1.47
0.5,1.0,1.68
0.41,0.79,1.43
0.65,1.41,1.56
0.69,1.52,1.78
0.67,0.98,1.78
0.79,1.55,1.69
0.87,1.36,1.79
1.11,1.91,2.64
1.89,2.95,3.81
2.44,2.78,3.68
2.51,2.68,3.76
2.13,3.23,3.8
1.98,2.03,3.08
1.37,2.25,3.04
1.2,2.05,3.08
0.64,2.17,2.96
0.94,1.79,2.9
0.77,1.66,2.24
0.52,0.61,1.14
0.43,0.67,1.37
0.68,0.95,1.63
0.66,1.01,1.59
0.55,1.17,1.71
0.61,1.05,1.92
0.55,0.97,1.53
0.39,1.04,1.62
0.5,1.45,1.63
0.63,1.49,1.92
0.83,1.24,2.5
0.95,1.55,1.74
0.51,1.63,1.9
1.59,2.12,2.64
2.36,2.5,3.61
2.62,3.48,4.2
2.18,3.16,3.61
2.13,2.7,3.38
1.77,2.78,3.23
1.66,2.73,2.83
1.36,2.59,3.08
1.22,1.98,2.56
0.5,2.01,2.39
0.85,1.43,2.04
0.44,1.06,1.2
0.43,1.11,1.64
0.19,1.1,1.37
0.51,0.97,1.46
0.67,0.9,1.45
0.6,0.97,1.43
0.62,1.11,1.57
0.56,0.82,1.75
0.59,0.81,1.85
0.42,1.08,1.62
0.81,1.48,1.97
0.71,1.4,1.72
0.83,1.51,1.79
1.5,1.69,3.02
1.98,3.43,3.78
2.58,3.24,3.85
2.18,3.52,3.69
1.99,2.31,3.66
1.93,2.72,3.17
1.6,2.47,3.19
1.46,1.81,2.98
0.83,1.83,2.48
0.88,1.86,2.33
0.87,1.66,1.98
0.28,0.71,1.18
0.62,0.92,1.21
0.65,0.84,1.36
0.7,0.74,1.55
0.44,0.8,1.49
0.55,1.14,1.56
0.32,0.84,1.72
0.62,0.82,1.48
0.58,1.44,1.63
0.73,1.24,1.71
0.88,1.47,1.66
0.89,1.16,1.67
0.8,1.02,1.73
1.63,1.73,2.67
2.37,3.37,3.84
2.23,3.22,3.99
2.05,3.32,3.69
2.01,2.93,3.38
1.49,2.1,3.27
1.63,2.04,3.01
1.22,2.05,2.62
1.27,2.08,2.86
1.13,1.87,2.32
0.64,1.02,1.88
0.34,0.9,1.31
0.58,0.75,1.21
0.57,1.03,1.55
0.57,1.09,1.5
0.37,1.17,1.89
0.54,1.25,2.02
0.43,0.98,1.36
0.5,0.76,1.54
0.48,1.45,1.57
0.56,0.98,1.71
0.69,1.47,1.66
0.9,1.33,1.65
0.91,1.19,2.1
1.43,2.26,2.81
1.84,3.15,3.54
2.31,3.33,3.84
1.87,2.97,3.57
2.22,2.3,3.4
1.58,2.27,3.13
1.63,2.43,2.89
0.67,1.72,2.8
0.79,1.46,3.1
1.08,1.97,2.8
0.42,1.2,2.48
0.47,1.12,1.26
0.28,0.85,1.35
0.53,0.74,1.35
0.69,1.03,1.43
0.66,1.35,1.5
0.56,1.21,1.68
0.56,0.79,1.38
0.45,0.78,1.55
0.69,1.41,1.54
0.65,1.47,1.74
0.67,1.62,1.9
0.51,1.52,1.72
0.8,1.64,1.98
1.52,1.72,2.83
1.42,3.35,3.79
2.34,3.53,3.82
2.52,3.1,4.19
2.03,2.33,3.56
1.89,2.76,3.3
1.26,2.08,2.94
1.08,2.46,2.7
0.6,1.35,2.67
1.07,1.82,2.73
0.64,1.78,2.18
0.29,0.63,1.17
0.56,0.64,1.28
0.36,1.15,1.34
0.54,0.73,1.37
0.57,1.16,1.44
0.57,0.81,1.38
0.5,1.1,1.46
0.5,1.23,1.45
0.59,1.36,1.48
0.77,1.11,1.57
0.84,0.92,2.13
0.88,1.23,1.83
0.85,1.27,1.74
1.63,1.92,2.55
2.36,2.93,3.77
2.64,3.55,3.87
2.14,3.53,3.85
2.1,3.22,3.9
1.57,2.52,3.41
1.68,1.86,3.09
1.38,1.83,2.88
0.81,1.32,2.52
0.69,1.21,2.3
0.54,1.5,2.02
0.51,0.63,1.15
0.37,1.05,1.27
0.46,1.19,1.6
0.61,0.98,1.43
0.55,1.29,1.64
0.52,1.17,1.65
0.42,0.76,1.67
0.35,1.34,1.55
0.69,1.44,1.82
0.14,1.26,1.94
0.78,1.08,1.66
0.93,0.98,1.69
0.98,1.48,1.91
1.56,1.91,2.57
1.81,3.28,3.91
2.23,3.43,3.82
2.48,3.18,3.88
2.21,2.36,3.4
1.81,2.18,3.45
1.19,2.02,3.08
1.08,1.77,3.36
1.24,1.82,2.77
1.06,1.71,2.81
