bad,mean,good
3.66,5.14,8.67
4.52,7.86,9.33
3.51,6.9,9.42
3.3,7.82,8.67
4.39,7.72,9.23
5.13,6.35,8.68
3.71,7.47,9.1
4.93,7.73,9.12
3.74,8.53,9.15
3.53,8.21,8.64
3.67,6.95,9.15
4.26,6.53,9.1
3.96,4.9,8.66
4.57,6.51,8.33
3.95,6.48,8.24
3.42,7.45,9.78
3.97,5.96,9.66
4.63,5.74,8.9
4.41,5.88,8.58
3.47,7.46,8.63
3.48,7.44,8.57
4.6,5.51,9.01
5.0,7.04,9.9
2.87,6.93,8.85
4.49,6.32,9.15
3.38,5.84,10.13
4.38,7.34,8.62
5.02,8.45,8.97
4.59,8.36,9.7
4.41,7.26,9.77
4.3,7.26,9.42
5.12,5.53,9.0
4.22,8.6,10.1
4.2,6.73,8.57
5.09,6.35,8.88
4.13,5.56,9.15
3.18,7.68,9.42
3.22,6.21,10.18
3.49,5.95,9.87
2.45,6.1,8.41
2.7,8.09,9.04
4.52,7.76,9.89
3.6,5.24,10.06
4.66,5.0,9.07
3.59,6.66,9.53
4.27,7.08,8.87
3.72,7.25,8.98
3.99,7.05,9.67
3.51,5.82,8.77
4.67,8.37,8.91
4.48,8.43,9.32
3.56,5.35,9.04
4.94,8.34,8.92
4.86,8.55,8.94
2.8,6.32,8.93
3.39,6.87,9.52
4.39,5.51,8.64
4.93,5.53,9.25
1.82,8.18,9.99
4.98,5.15,8.46
3.78,6.54,9.03
3.91,6.53,9.61
2.54,7.35,9.66
3.99,6.78,9.88
4.09,7.74,9.33
4.27,4.96,8.44
3.41,5.07,9.32
4.81,6.61,9.95
4.63,6.82,9.86
4.07,7.63,9.81
4.56,6.83,10.32
4.32,6.92,9.21
3.34,7.14,9.41
3.82,8.52,9.18
4.1,8.34,9.73
3.7,6.86,8.67
3.91,8.34,8.65
4.2,8.01,9.13
4.95,7.12,8.92
3.84,5.47,8.93
4.98,7.97,10.45
3.82,7.21,8.75
4.54,6.43,8.67
4.32,7.52,8.94
4.62,8.09,8.4
4.4,8.16,9.63
4.44,6.79,8.51
2.54,7.44,8.53
4.45,6.91,8.85
3.62,8.0,8.75
3.38,7.93,8.49
1.93,7.49,8.86
3.63,6.57,9.43
4.88,6.23,8.87
4.58,7.66,8.83
4.78,7.59,9.36
4.46,6.01,9.82
4.34,5.55,9.87
2.94,6.56,8.8
4.47,8.11,9.23
4.76,7.61,9.1
5.12,6.27,9.46
4.52,5.39,10.03
5.03,8.39,9.43
4.84,7.12,8.61
3.84,8.44,9.02
4.52,5.11,9.57
4.83,7.32,8.76
4.44,7.26,9.44
4.7,5.79,9.32
3.18,6.34,8.27
3.8,6.98,8.34
4.56,7.75,8.28
2.47,5.72,8.65
4.82,6.78,8.5
4.63,5.87,8.81
4.93,5.19,8.95
3.35,5.65,9.04
4.56,8.14,9.29
2.86,6.21,9.79
4.8,6.0,8.92
4.27,8.5,9.17
4.71,7.32,9.08
4.39,8.06,8.62
3.61,6.14,9.02
2.86,8.6,9.13
5.1,5.56,9.0
4.03,8.23,9.59
3.78,7.05,9.26
3.4,7.76,9.0
4.09,7.19,8.68
3.35,5.37,9.08
4.52,5.85,8.93
3.95,6.54,8.26
4.61,7.11,9.38
4.63,7.0,8.31
3.53,5.23,8.68
2.88,7.06,9.26
4.7,5.64,9.27
4.06,7.12,9.64
4.06,7.24,9.29
2.87,7.65,9.05
4.21,7.99,9.66
3.58,6.97,8.64
4.08,5.66,9.15
3.68,8.51,8.96
3.72,6.07,9.08
4.94,8.04,9.77
5.09,7.16,8.84
4.02,6.73,8.91
4.23,7.66,9.42
5.05,7.54,8.72
3.99,7.44,9.73
2.84,6.57,8.62
4.15,5.19,8.73
3.69,5.89,8.62
4.54,7.14,8.58
2.2,5.51,8.81
3.02,5.2,10.08
4.46,7.32,9.61
2.74,6.0,8.29
3.85,8.3,9.01
4.42,6.29,8.86
3.81,5.21,8.77
4.83,6.93,9.1
4.81,8.46,8.83
4.1,5.9,8.66
4.41,5.9,8.7
3.71,5.75,9.17
4.87,8.37,8.85
4.25,8.24,9.18
5.08,5.94,8.81
4.45,8.22,8.74
5.05,7.9,9.96
4.62,5.5,8.61
3.72,8.16,9.45
4.08,8.15,9.23
4.99,7.01,10.59
4.82,8.14,9.25
4.71,7.45,9.19
3.5,5.97,8.72
3.5,7.77,8.51
2.4,4.84,8.82
4.44,6.86,9.43
3.54,8.13,8.42
2.51,5.11,8.58
2.48,4.85,8.85
2.74,7.77,8.74
3.81,5.1,8.84
4.18,7.6,9.58
4.28,7.82,9.58
4.92,7.55,9.0
4.06,7.99,8.84
4.31,8.17,8.65
4.93,6.72,8.62
4.76,5.53,8.81
4.49,6.59,9.01
3.87,8.27,9.66
5.12,6.34,9.49
2.97,6.83,9.39
5.05,8.19,9.14
3.71,8.47,9.53
