bad,mean,good
0.43,1.18,1.36
0.42,0.97,1.52
0.38,1.33,1.8
0.3,1.07,1.63
0.4,1.12,1.99
0.42,1.79,2.81
0.43,2.06,2.88
1.17,2.92,3.64
0.96,2.14,4.36
1.28,4.41,4.58
1.62,3.77,4.66
2.14,3.41,4.43
2.01,2.51,3.99
2.14,2.91,3.59
1.69,2.59,3.78
1.21,2.45,3.17
1.03,1.4,2.14
0.68,0.79,1.16
0.62,0.75,1.06
0.55,0.9,1.06
0.54,0.88,1.22
0.6,0.67,1.12
0.51,0.81,1.47
0.45,0.78,1.17
0.5,0.56,1.22
0.45,0.63,2.13
0.43,0.8,1.73
0.34,1.32,1.68
0.32,1.39,2.53
0.39,0.81,1.98
0.97,1.94,3.02
1.27,1.51,3.6
1.23,4.06,4.39
1.74,3.6,4.55
2.62,3.43,4.58
2.05,2.91,4.45
1.43,3.63,4.28
1.53,2.8,4.26
1.51,2.41,3.7
0.89,2.03,2.74
0.72,1.79,1.99
0.67,1.01,1.31
0.54,0.69,1.46
0.64,0.67,1.14
0.55,0.8,1.29
0.57,0.82,1.09
0.57,0.61,1.17
0.52,0.8,1.48
0.41,0.7,2.48
0.44,1.11,1.32
0.34,0.9,2.06
0.35,0.56,1.84
0.27,1.38,1.73
0.21,1.09,2.13
0.58,1.42,2.8
0.5,2.36,3.79
1.33,3.46,4.6
2.28,2.74,4.77
2.61,4.33,4.88
2.57,2.68,4.38
1.89,3.2,4.13
1.85,2.92,4.06
1.1,2.9,3.3
1.39,2.24,3.2
1.06,1.72,2.06
0.65,0.71,1.09
0.53,0.67,1.29
0.65,0.81,1.32
0.62,0.81,1.2
0.56,0.89,1.32
0.57,0.84,1.65
0.54,0.78,1.29
0.4,0.64,1.47
0.48,1.16,1.45
0.4,1.24,1.57
0.36,0.81,2.44
0.14,1.38,1.87
0.36,1.7,2.45
0.29,1.86,2.8
0.66,1.47,3.57
1.73,3.4,4.35
2.46,3.9,4.62
0.43,3.48,4.51
2.17,3.86,4.33
2.38,3.78,4.29
2.06,3.53,4.06
1.87,3.2,3.21
0.92,2.44,2.78
1.12,1.56,1.95
0.59,1.03,1.13
0.52,0.97,1.17
0.41,0.91,1.1
0.55,0.79,1.1
0.51,0.73,1.09
0.57,0.78,1.13
0.45,0.88,1.34
0.5,0.82,1.68
0.45,0.6,1.89
0.23,1.21,1.57
0.35,1.17,2.2
0.4,1.09,1.81
