bad,mean,good
4.72,6.09,9.2
5.55,8.52,9.76
4.54,9.17,9.8
4.04,8.47,9.36
5.4,8.26,9.45
5.14,8.84,9.75
4.39,7.96,9.21
6.18,8.47,9.53
4.81,9.27,9.73
4.41,9.03,9.37
4.39,7.81,9.68
4.89,7.26,9.59
4.61,5.68,9.23
5.32,7.32,9.12
4.94,7.48,9.19
4.74,8.55,11.43
5.64,7.3,10.73
6.13,6.97,9.73
5.9,6.94,9.31
5.18,8.2,9.39
4.93,8.18,10.31
5.69,6.48,9.58
5.82,7.78,10.19
3.89,7.68,9.34
5.5,7.13,9.62
4.44,6.76,10.44
5.42,7.74,9.72
4.46,8.96,9.42
5.62,8.75,9.85
5.63,6.99,9.06
5.0,7.78,9.43
4.31,6.72,9.44
5.33,9.33,10.37
5.17,7.76,9.83
1.81,7.25,9.47
4.75,6.28,9.63
3.46,8.3,9.98
3.86,7.01,10.87
4.46,6.96,10.78
3.74,7.29,10.79
4.33,9.13,10.06
6.04,8.65,10.77
5.34,6.47,11.11
6.02,6.26,9.9
5.02,7.5,10.68
5.39,7.85,9.45
4.75,7.98,9.5
5.01,7.78,10.03
4.57,6.7,9.29
5.69,8.96,9.42
5.51,8.11,10.03
4.65,6.46,9.57
4.78,8.73,9.19
4.89,7.72,9.21
3.41,6.96,9.08
4.95,7.81,9.84
5.51,6.66,9.36
5.97,6.59,9.45
5.4,8.88,10.33
5.67,5.86,9.05
4.37,7.25,9.59
4.6,7.34,10.34
3.43,8.34,10.57
5.31,7.92,9.46
5.74,8.82,10.37
5.86,6.37,9.28
5.21,6.35,10.15
6.13,7.47,11.07
5.85,7.64,10.19
5.2,8.34,10.33
5.43,7.58,10.48
5.32,7.67,9.65
4.41,7.85,11.15
4.88,9.09,9.64
5.14,9.01,9.31
5.59,7.72,10.99
5.8,8.73,9.34
2.48,8.74,9.48
5.66,7.66,9.07
6.26,6.66,9.38
6.13,8.84,10.6
4.75,8.18,9.66
5.37,7.32,9.3
4.96,8.2,9.46
5.38,8.68,10.01
5.13,8.96,10.36
5.44,7.78,9.45
3.84,8.54,11.41
6.06,8.09,9.87
5.36,8.86,9.58
5.19,8.66,9.22
3.88,8.23,9.65
5.05,7.43,9.67
5.93,7.11,9.45
5.45,8.37,9.38
5.76,8.26,9.77
5.47,6.86,9.85
5.38,6.5,10.22
3.95,8.94,9.53
5.51,8.69,10.01
4.3,8.18,9.27
4.65,8.31,9.21
5.23,6.1,9.84
5.2,8.97,9.78
5.99,8.14,9.81
4.77,9.21,9.64
4.89,6.01,10.01
5.51,8.02,9.31
5.18,7.91,9.49
5.45,6.58,10.06
4.13,7.35,9.22
5.12,8.11,10.89
6.15,8.82,9.7
4.42,6.96,9.48
6.1,7.63,9.23
