bad,mean,good
0.58,2.0,2.45
0.45,1.62,2.83
0.4,2.31,3.12
0.27,1.94,2.55
0.46,1.99,3.22
0.64,1.26,3.3
0.83,3.02,4.04
2.25,4.33,5.36
2.11,6.08,6.43
2.65,6.08,6.29
3.12,5.28,6.35
3.57,4.84,6.09
3.36,3.87,5.6
3.43,4.33,5.2
2.97,4.06,5.65
2.48,4.16,5.53
2.14,2.87,4.38
1.26,1.28,2.49
1.13,1.42,2.23
0.95,1.81,2.25
0.87,1.66,2.62
0.93,1.08,2.15
0.72,1.3,2.79
0.58,1.16,1.96
0.56,0.76,2.76
0.5,0.86,2.4
0.53,1.25,2.99
0.64,2.38,2.8
0.52,2.46,3.71
0.44,1.97,4.14
1.06,2.88,4.22
2.39,2.7,5.27
2.53,6.12,6.87
3.22,5.2,6.56
1.66,4.94,6.23
3.49,4.32,6.11
2.74,5.12,6.02
2.78,4.19,6.13
2.76,3.84,5.54
1.99,3.6,5.22
1.52,3.67,4.08
1.21,1.52,2.96
0.98,1.29,2.98
1.15,1.22,2.47
0.88,1.45,2.85
0.88,1.42,2.08
0.78,0.89,2.08
0.69,1.19,2.67
0.55,0.98,3.4
0.57,1.94,2.67
0.55,1.46,3.5
0.3,0.75,2.86
0.63,2.44,2.93
0.56,2.67,3.18
0.57,2.23,3.94
0.96,3.7,5.66
2.68,3.72,6.15
3.84,4.32,6.34
3.75,5.91,6.68
3.61,4.09,6.01
3.23,4.61,5.8
3.12,4.34,5.84
2.26,4.45,4.98
2.73,3.88,4.58
2.18,3.53,4.22
1.08,2.07,2.31
0.95,1.25,2.56
0.68,1.57,3.01
1.04,1.48,2.55
0.85,1.58,2.67
0.77,1.36,3.25
0.58,1.16,2.23
0.58,0.88,2.22
0.56,2.06,3.58
0.48,2.15,2.46
0.33,1.38,2.55
0.35,2.44,2.69
0.69,1.21,3.22
1.38,2.78,3.94
1.35,2.65,5.22
3.22,5.73,7.02
2.9,5.51,6.46
3.74,4.98,6.14
3.91,5.34,5.94
3.73,5.32,6.03
3.35,5.12,5.85
3.19,4.85,4.87
2.04,4.15,5.52
2.32,3.21,4.0
0.85,1.34,2.43
0.95,1.98,2.54
1.15,1.82,2.36
0.89,1.42,2.27
0.75,1.22,2.08
0.79,1.25,2.0
0.65,1.36,2.35
0.52,1.2,2.45
0.48,0.79,2.66
0.33,2.08,2.74
0.49,2.14,3.03
0.57,1.92,3.09
0.41,1.53,3.52
1.17,1.64,4.53
2.32,4.82,5.6
3.1,5.12,6.13
2.92,6.19,6.45
3.43,4.15,6.52
3.0,5.24,6.08
3.64,4.93,5.75
3.49,4.0,5.69
2.6,4.2,5.4
2.65,3.96,5.26
1.95,3.53,3.92
0.93,2.15,2.39
